Pos.,No.,Name,RName,Team,Ht.m,Wt.kg,BMI,KPmin,Avg..Speed,z.BMI,z.Speed
G,27,Jamal Murray,J. Murray,DEN,1.93,94,25.24,2496,4.4,0.43,0.78
G,27,Jamal Murray,J. Murray,All,1.93,94,25.24,2496,4.4,0.43,0.78
F/C,24,Mason Plumlee,M. Plumlee,DEN,2.11,107,24.03,1404,4.16,-0.34,-0.45
F/C,24,Mason Plumlee,M. Plumlee,All,2.11,107,24.03,1404,4.16,-0.34,-0.45
F,8,Jarred Vanderbilt,J. Vanderbilt,DEN,2.06,97,22.86,140,4.5,-1.1,1.29
F,8,Jarred Vanderbilt,J. Vanderbilt,All,2.06,97,22.86,140,4.5,-1.1,1.29
F,31,Keita Bates-Diop,K. Bates-Diop,MIN,2.06,104,24.51,385,4.22,-0.04,-0.14
F,31,Keita Bates-Diop,K. Bates-Diop,All,2.06,104,24.51,385,4.22,-0.04,-0.14
F,7,Jordan Bell,J. Bell,MIN,2.06,102,24.04,616,4.19,-0.34,-0.29
F,7,Jordan Bell,J. Bell,All,2.06,102,24.04,616,4.19,-0.34,-0.29
F,33,Robert Covington,R. Covington,MIN,2.06,108,25.45,2160,4.1,0.57,-0.75
F,33,Robert Covington,R. Covington,All,2.06,108,25.45,2160,4.1,0.57,-0.75
C,5,Gorgui Dieng,G. Dieng,MIN,2.11,114,25.61,390,4.18,0.67,-0.34
C,5,Gorgui Dieng,G. Dieng,All,2.11,114,25.61,390,4.18,0.67,-0.34
G/F,12,Treveon Graham,T. Graham,MIN,1.96,102,26.55,589,4.45,1.28,1.04
G/F,12,Treveon Graham,T. Graham,All,1.96,102,26.55,589,4.45,1.28,1.04
F,10,Jake Layman,J. Layman,MIN,2.06,98,23.09,1560,4.48,-0.94,1.19
F,10,Jake Layman,J. Layman,All,2.06,98,23.09,1560,4.48,-0.94,1.19
G,13,Shabazz Napier,S. Napier,MIN,1.85,82,23.96,1326,4.17,-0.39,-0.39
G,13,Shabazz Napier,S. Napier,All,1.85,82,23.96,1326,4.17,-0.39,-0.39
G,20,Josh Okogie,J. Okogie,MIN,1.93,96,25.77,1404,4.4,0.78,0.78
