Pos.,No.,Name,RName,Team,Ht.m,Wt.kg,BMI,KPmin,Avg..Speed,z.BMI,z.Speed
F,20,Dario Saric,D. Saric,All,2.08,101,23.35,1872,4.31,-0.78,0.32
F,0,Trevor Ariza,T. Ariza,SAC,2.03,98,23.78,1245,3.99,-0.5,-1.31
F,0,Trevor Ariza,T. Ariza,All,2.03,98,23.78,1245,3.99,-0.5,-1.31
F,40,Harrison Barnes,H. Barnes,SAC,2.03,102,24.75,2496,4.32,0.12,0.37
F,40,Harrison Barnes,H. Barnes,All,2.03,102,24.75,2496,4.32,0.12,0.37
F,88,Nemanja Bjelica,N. Bjelica,SAC,2.08,106,24.5,760,4.24,-0.04,-0.04
F,88,Nemanja Bjelica,N. Bjelica,All,2.08,106,24.5,760,4.24,-0.04,-0.04
G,8,Bogdan Bogdanovic,B. Bogdanovic,SAC,1.98,93,23.72,2184,4.31,-0.54,0.32
G,8,Bogdan Bogdanovic,B. Bogdanovic,All,1.98,93,23.72,2184,4.31,-0.54,0.32
C,13,Dewayne Dedmon,D. Dedmon,SAC,2.13,111,24.47,1875,4.19,-0.06,-0.29
C,13,Dewayne Dedmon,D. Dedmon,All,2.13,111,24.47,1875,4.19,-0.06,-0.29
G,3,Yogi Ferrell,Y. Ferrell,SAC,1.83,82,24.49,390,4.43,-0.05,0.93
G,3,Yogi Ferrell,Y. Ferrell,All,1.83,82,24.49,390,4.43,-0.05,0.93
G,5,De'Aaron Fox,D. Fox,SAC,1.91,79,21.66,2418,4.41,-1.87,0.83
G,5,De'Aaron Fox,D. Fox,All,1.91,79,21.66,2418,4.41,-1.87,0.83
G,24,Buddy Hield,B. Hield,SAC,1.93,97,26.04,2496,4.71,0.95,2.37
G,24,Buddy Hield,B. Hield,All,1.93,97,26.04,2496,4.71,0.95,2.37
F,22,Richaun Holmes,R. Holmes,SAC,2.08,107,24.73,924,4.03,0.11,-1.11
F,22,Richaun Holmes,R. Holmes,All,2.08,107,24.73,924,4.03,0.11,-1.11
G,9,Cory Joseph,C. Joseph,SAC,1.91,88,24.12,1404,4.49,-0.28,1.24
G,9,Cory Joseph,C. Joseph,All,1.91,88,24.12,1404,4.49,-0.28,1.24
F/C,50,Caleb Swanigan,C. Swanigan,SAC,2.06,113,26.63,234,4.24,1.33,-0.04
F/C,50,Caleb Swanigan,C. Swanigan,All,2.06,113,26.63,234,4.24,1.33,-0.04
