"Rnk.","Bike brand","Wins","Teams"
33,"Massi",4,"Massi"
34,"Masil",3,"Carvalhelhos - Boavista"
35,"Gazelle",3,"Fondas P3 Transfer Team"
36,"Litespeed",2,"DFL-Cyclingnews-Litespeed"
37,"GT",2,"Targetraining Cycling Team"
38,"MBK",2,"MBK - Cycles - Scout"
39,"Kuota",2,"Sava"
40,"Thompson",2,"Pictoflex - Bikeland - Hyundai"
41,"Garneau",1,"The Jittery Joe's - Zero Gravity Pro Cycling Team"
42,"Simplon",1,"ELK Haus-Simplon"
43,"Parkpre",1,"Successfulliving.com presented by Parkpre"
1,"Colnago",91,"Ceramica Panaria - Navigare ,  Navigators Insurance Cycling Team ,  Rabobank ProTeam ,  Team Milram ,  Tinkoff Credit Systems"
2,"Trek",51,"Discovery Channel  ,  Discovery Channel - Marco Polo Team ,  Tecos de la Universidad Autonoma de Guadalajara"
3,"Specialized",46,"Colombia es Pasion Team ,  Quickstep - Innergetic"
4,"SCOTT",43,"RC Arbö Resch & Frisch - Gourmetfein - Wels ,  Saunier Duval ,  Scott - Marcondes Cesar - Fadenp São José dos Camp"
5,"Giant",39,"T-Mobile Team ,  Thüringer Energie Team"
6,"Pinarello",35,"Aisan Racing Team ,  Caisse d'Epargne ,  Team Odense Energi"
7,"Cervélo",34,"CSC ProTeam"
8,"De Rosa",32,"Acqua & Sapone - Caffè Mokambo ,  Kio Ene - Tonazzi - DMT"
9,"Felt",32,"CCC - Polsat - Polkowice ,  Team Konica Minolta ,  Team Slipstream ,  Team Wiesenhof - Felt"
10,"Wilier",31,"Lampre-Fondital"
11,"Ridley",28,"DAVO ,  Palmans Collstrop ,  Predictor - Lotto ,  Priority Health Cycling Team presented by Bissell"
12,"Time",28,"Bouygues Telecom ,  Cofidis, le Crédit par Téléphone"
13,"Author",24,"DHL - Author"
14,"Cannondale",23,"Barloworld ,  Health Net Presented By Maxxis"
15,"Bianchi",22,"Duja - Tavira ,  Maxbo - Bianchi"
16,"Decathlon",20,"AG2R Prévoyance"
17,"BMC",19,"Astana ,  BMC Racing Team"
18,"Lapierre",17,"Française des Jeux"
19,"Canyon",17,"Unibet.com ,  Unibet.com CT"
20,"Orbea",17,"Andalucia-Caja Sur ,  Jelly Belly Cycling Team ,  Karpin - Galicia ,  Madeinox - BRIC - Loulé ,  Orbea - Oreka"
21,"MBK",15,"Agritubel"
22,"Gios",13,"Relax - Gam"
23,"Olmo",10,"P-Nivo - Betonexpressz 2000 - KFT.se"
24,"BH",8,"Viña Magna - Cropu"
25,"Carrera",7,"LPR - Nava - Androni"
26,"Merckx",6,"Chocolade Jacques / Topsport Vlaanderen"
27,"Gazelle",6,"P3Transfer - Fondas Team"
28,"Felino",5,"Bretagne Armor Lux ,  Colavita / Sutter Home presented by Cooking Light"
29,"Kuota",5,"Cycling Club Bourgas ,  Kodakgallery.com - Sierra Nevada Brewing co."
30,"Fuji",4,"Toyota - United Pro Cycling Team"
31,"Python",4,"Glud & Marstrand - Horsens"
32,"Litespeed",4,"DFL-Cyclingnews-Litespeed"
33,"Red Bull",4,"AKUD - Rose"
34,"Merida",3,"Kalev Chocolate Team"
35,"Focus",3,"Team Notebooksbilliger.de"
36,"Viner",3,"Miche"
37,"Moser",3,"Adria Mobil"
38,"Pinnacle",3,"Plowman Craven - Evans Cycles Racing Team"
39,"Bottecchia",2,"Hadimec"
40,"Isaac",2,"Isaac"
41,"LeMond",2,"Kelly Benefit Strategies / Medifast"
42,"Flanders",2,"Babes Only - Villapark Langemeer - Flanders"
43,"Tommasini",2,"OTC Doors - Lauretana"
44,"Look",1,"Barbot - Halcon"
45,"Dynatek",1,"Dynatek"
1,"Giant",76,"Team Columbia ,  Team High Road"
2,"Specialized",60,"Gerolsteiner ,  Quickstep - Innergetic ,  Team Neotel"
3,"Colnago",50,"CSF Group - Navigare ,  ISD Sport Donetsk ,  Milram ,  Rabobank ProTeam ,  Tinkoff Credit Systems"
4,"Trek",48,"Astana ,  Tecos de la Universidad Autonoma de Guadalajara"
5,"Cervélo",46,"CSC ProTeam"
6,"De Rosa",41,"Acqua & Sapone ,  LPR Brakes - Ballan ,  Rock Racing"
7,"Time",33,"Bouygues Telecom ,  Cofidis, le Crédit par Téléphone"
8,"Look",31,"Crédit Agricole"
