"Rnk.","Bike brand","Wins","Teams"
30,"Cipollini",11,"Bardiani - CSF ,  Efapel"
31,"Focus",11,"Matrix Powertag ,  MsTina-Focus ,  Oliver's Real Food ,  Radio Popular Boavista"
32,"Condor",10,"JLT Condor"
33,"Wibatech",10,"Wibatech Merx 7R"
34,"Jorbi",9,"Aviludo - Louletano ,  Sporting Clube de Portugal/Tavira"
35,"Benotti",8,"Bike Aid"
36,"Gavia",7,"Team Joker Icopal"
37,"Yonex",6,"Kinan Cycling Team"
38,"Gusto",6,"Ljubljana Gusto Xaurum ,  Start Team Gusto"
39,"Python",6,"BHS - Almeborg-Bornholm"
40,"Olmo",4,"Sangemini - MG.Kvis"
41,"Diamondback",4,"Rally Cycling"
42,"KHS",4,"Elevate - KHS Pro Cycling"
43,"SwiftCarbon",4,"Vito-Feirense-BlackJack"
44,"BH",3,"Burgos-BH ,  Team Fortuneo - Samsic"
45,"Look",3,"Hengxiang Cycling Team ,  Team Fortuneo - Samsic"
46,"Memil",3,"Memil - CCN Pro Cycling"
47,"Java",3,"Java-Partizan Pro Cycling Team"
48,"Dare",3,"Uno-X Norwegian Development Team"
49,"Jamis",3,"Silber Pro Cycling"
50,"Berria",2,"Medellin"
51,"Basso",2,"Team Hurom"
52,"GW",2,"GW - Shimano"
53,"Massi",2,"Massi - Kuwait Team"
54,"Cello",2,"Geumsan Insam Cello"
55,"XDS",2,"Beijing XDS - Innova Cycling Team"
56,"Guerciotti",1,"Meridiana Kamen Team"
57,"Merckx",1,"Sport Vlaanderen - Baloise"
58,"RTS",1,"RTS Racing Team"
59,"Genesis",1,"Madison Genesis"
60,"MMR",1,"Team Differdange - Losch"
61,"Stradalli",1,"Interpro Stradalli Cycling"
62,"Bridgestone",1,"Bridgestone Anchor Cycling Team"
1,"Specialized",147,"Adria Mobil ,  BORA - hansgrohe ,  Canel's - Specialized ,  Deceuninck - Quick Step ,  GENERAL STORE -ESSEGIBI-F.LLI CURIA ,  Team Illuminate ,  Thailand Continental Cycling Team ,  Wildlife Generation p/b Maxxis ,  X-Speed United"
2,"Argon 18",61,"Astana Pro Team ,  Team Vorarlberg Santic ,  Terengganu Inc. TSG Cycling Team"
3,"Bianchi",56,"IAM Excelsior ,  KSPO Bianchi Asia Procycling ,  Team Jumbo-Visma"
4,"Canyon",52,"Canyon dhb p/b Bloor Homes  ,  Corendon - Circus ,  Movistar Team ,  Team Katusha Alpecin"
5,"Cervélo",48,"Oliver's Real Food ,  Radio Popular Boavista ,  Team BridgeLane ,  Team Sapura Cycling ,  Team Sunweb"
6,"De Rosa",44,"Aisan Racing Team ,  Caja Rural - Seguros RGA ,  Israel Cycling Academy ,  Nippo Vini Fantini Faizanè"
7,"Pinarello",43,"Biesse Carrera ,  Cycling Team Friuli ,  Hagens Berman Axeon ,  Riwal Readynez Cycling Team ,  Team INEOS ,  Team Sky ,  Team Wiggins Le Col"
8,"Ridley",41,"Benediction Excel Energy ,  LKT Team Brandenburg ,  Lotto Soudal ,  Pro Racing Sunshine Coast ,  Team Coop  ,  Wallonie-Bruxelles"
9,"Scott",37,"BAI - Sicasal - Petro de Luanda ,  Mitchelton-Scott"
10,"Colnago",33,"Gazprom-RusVelo ,  Kyiv Capital Team ,  UAE-Team Emirates"
11,"Lapierre",31,"Groupama - FDJ ,  Interpro Cycling Academy ,  Natura4Ever - Roubaix Lille Métropole"
12,"Merida",26,"Bahrain Merida ,  Dukla Banska Bystrica ,  Utsunomiya Blitzen"
13,"Orbea",25,"Efapel ,  Euskadi Basque Country - Murias ,  Fundación Euskadi ,  Vital Concept - B&B Hotels"
14,"Giant",23,"CCC Development Team ,  CCC Team ,  Leopard Pro Cycling"
15,"Cannondale",20,"Aevolo ,  Drapac-Cannondale Holistic Development Team ,  EF Education First"
16,"Kuota",20,"Cofidis, Solutions Crédits"
17,"Salcano",19,"Salcano Sakarya BB Team"
18,"Author",19,"Elkov - Author Cycling Team ,  Voster ATS Team"
19,"Merckx",18,"AG2R La Mondiale ,  Sovac  ,  Sport Vlaanderen - Baloise"
20,"Trek",17,"ColoQuick ,  Trek - Segafredo"
21,"Koga",17,"BEAT Cycling Club  ,  SEG Racing Academy"
22,"BMC",16,"Arapahoe - Hincapie p/b BMC ,  Metec - TKH Continental Cyclingteam p/b Mantel ,  Swiss Racing Academy ,  Team Dimension Data"
23,"Wilier",16,"Direct Energie ,  Team Total Direct Energie"
24,"Look",15,"Delko Marseille Provence ,  Hengxiang Cycling Team"
25,"Winspace",14,"Minsk Cycling Club"
26,"Guerciotti",13,"Bardiani - CSF ,  EvoPro Racing ,  Guerciotti - Kiwi Atlántico"
27,"Fuji",12,"Maloja Pushbikers ,  St Michel - Auber93 ,  Team UKYO"
28,"Berria",12,"Medellin"
29,"Focus",12,"Giotti Victoria - Palomar ,  Matrix Powertag"
30,"SwiftCarbon",12,"W52 / FC Porto"
31,"KTM",11,"Neri Sottoli - Selle Italia - KTM ,  Sporting Clube de Portugal/Tavira ,  Tirol KTM Cycling Team"
32,"Wibatech",9,"Wibatech Merx 7R"
33,"Cube",8,"Wanty - Gobert Cycling Team"
34,"BH",8,"Burgos-BH ,  Team Arkéa Samsic"
35,"Zannata",8,"Tarteletto - Isorex"
36,"KHS",8,"Elevate - KHS Pro Cycling"
37,"Hasa",6,"Bike Aid ,  Inteja Imca Ridea DCT"
38,"Felt",6,"Rally UHC Cycling"
39,"Yonex",5,"Kinan Cycling Team"
40,"Storck",5,"Team Go For Gold ,  Team Waoo"
41,"Dare",5,"Uno-X Norwegian Development Team"
42,"Pardus",5,"St George Continental Cycling Team"
43,"XDS",5,"Shenzhen Xidesheng Cycling Team"
44,"Jorbi",4,"Amore & Vita - Prodir"
45,"Memil",4,"Memil - CCN Pro Cycling"
46,"Factor",3,"Roompot - Charles"
47,"Gavia",3,"Joker Fuel of Norway"
48,"Gios",2,"Manzana Postobon"
49,"Gusto",2,"Ljubljana Gusto Santic"
50,"Thömus",2,"AKROS - Thömus"
51,"Hrinkow",2,"Team Hrinkow Advarics Cycleang"
52,"Bridgestone",2,"Team Bridgestone Cycling"
53,"Wiawis",2,"LX Cycling Team"
54,"Avenger",2,"Ferei Pro Cycling Team"
55,"Time",1,"303Project"
56,"Cipollini",1,"Iseo Serrature - Rime - Carnovali"
57,"Olmo",1,"Sangemini - Trevigiani - MG.Kvis"
58,"Soul",1,"São Francisco Saùde / Klabin / SME Ribeirão Preto"
59,"Simplon",1,"Team Felbermayr - Simplon Wels"
60,"Python",1,"BHS - Almeborg-Bornholm"
61,"Cello",1,"Geumsan Insam Cello"
62,"Ribble",1,"Ribble Pro Cycling"
63,"Benotti",1,"P&S Metalltechnik"
1,"Specialized",20,"BORA - hansgrohe ,  Deceuninck - Quick Step"
2,"Canyon",12,"Alpecin-Fenix ,  Canyon dhb p/b Soreen ,  Movistar Team ,  Team Arkéa Samsic"
3,"Colnago",11,"UAE-Team Emirates"
4,"Argon 18",11,"Natura4Ever - Roubaix Lille Métropole ,  Team BridgeLane ,  Terengganu Inc. TSG Cycling Team ,  Vino - Astana Motors"
5,"Cannondale",10,"ACA Pro Racing Sunshine Coast ,  EF Pro Cycling"
6,"Wilier",9,"Astana Pro Team ,  Team Total Direct Energie"
7,"Trek",8,"Mazowsze Serce Polski ,  Trek - Segafredo"
8,"Cervélo",8,"Team Sapura Cycling ,  Team Sunweb"
9,"SCOTT",8,"Mitchelton-Scott"
10,"BMC",6,"NTT Pro Cycling"
11,"Bianchi",5,"Jumbo-Visma Development Team ,  Team Jumbo-Visma"
12,"Merida",5,"Bahrain - McLaren"
13,"Look",5,"NIPPO DELKO One Provence"
14,"Ridley",4,"Lotto Soudal"
15,"Dare",4,"SEG Racing Academy ,  Uno-X Norwegian Development Team"
16,"Pinarello",3,"Black Spoke Pro Cycling Academy ,  Team INEOS"
17,"Factor",3,"Israel Start-Up Nation"
18,"De Rosa",3,"Caja Rural - Seguros RGA ,  Cofidis, Solutions Crédits"
19,"Gavia",3,"Joker Fuel of Norway"
20,"KHS",3,"Elevate - Webiplex Pro Cycling"
21,"Cube",2,"Circus - Wanty Gobert"
22,"Merckx",2,"AG2R La Mondiale"
23,"Pardus",2,"St George Continental Cycling Team"
24,"Lapierre",1,"Groupama - FDJ"
25,"KTM",1,"B&B Hotels - Vital Concept p/b KTM"
26,"Guerciotti",1,"Bardiani-CSF-Faizanè"
27,"Berria",1,"Team Medellin"
28,"Salcano",1,"Salcano Sakarya BB Team"
29,"Simplon",1,"Team Felbermayr - Simplon Wels"
30,"Storck",1,"Team Go For Gold"
31,"Winspace",1,"Minsk Cycling Club"
